as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2020",Robin Martin,Eglinton-Lawrence,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Investment income.","Investment and registered accounts:
Shares - Cymbria Corporation, Brookfield Asset Management, Berkshire Hathaway, Walt Disney Co., Fairfax Financial Ltd., Franco-Nevada Corp., Wheaton Precious Metals Corp., Labrador Iron Ore Royalty Corp., Suncor Energy Inc., Blackstone Group Inc., Vodafone Group PLC.
Sector-specific fund - Precious Gold Bullion Fund.",Nil.,"MPP Martin was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office: travel, meals and accommodation.",Nil.
"September 01, 2020",Rod Phillips,Ajax,"Salary - Legislative Assembly of Ontario, Minister.
Investment income.","Management trust dated October 12, 2018.",Nil.,Nil.,Nil.
"September 01, 2020",Roman Baber,York Centre,"Salary - Legislative Assembly of Ontario.
Work in progress payout - Taylor, Baber & Mergui Professional Corporation.
Rental income.","Private companies:
Baber Consulting Group Inc. - 100% interest (inactive).

Investment properties:
152 Gloucester Grove, Toronto, ON - 100% interest.
101 Searle Ave, Toronto, ON - 100% interest.
22 Duncannon Drive, Toronto, ON - 100% interest.

Investment and registered accounts:
Shares - Canada Goose Holdings Inc., Loblaw Companies Ltd., Rogers Communications Inc., 3-D Systems Corp, Cisco Systems Inc., Walgreen Boots Alliance Inc.

Other assets:
Gold - ScotiaMacatta.","Mortgages, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Ross Romano,Sault Ste. Marie,"Salary - Legislative Assembly of Ontario, Minister.","Private companies:
Rosario Romano Law Professional Corp. - 100% interest (inactive).
Ro-Men Ltd. - 50% interest (inactive).
(Pursuant to section 13 of the Members’ Integrity Act, 1994 the Integrity Commissioner has ruled that Minister Romano is not required to place Rosario Romano Law Professional Corp. and his interest in Ro-Men Ltd. in trust.)","Mortgages - Bank of Montreal, Michael O'Neill.",Nil.,Nil.
"September 01, 2020",Rudy Cuzzetto,Mississauga-Lakeshore,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Line of credit - TD Bank.,Nil.,Nil.
"September 01, 2020",Sam Oosterhoff,Niagara West,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage - First National Bank.,Nil.,Nil.
"September 01, 2020",Sandy Shaw,Hamilton West-Ancaster-Dundas,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment property - 78 Ferrie Street Hamilton, ON - 100% interest.
Investment and registered accounts:
Shares - BCE Inc.","Mortgage, Line of credit - Canadian Imperial Bank of Commerce.",Nil.,Nil.
"September 01, 2020",Sara Singh,Brampton Centre,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Canadian Imperial Bank of Commerce.,Nil.,Director - Broadening Horizons.
"September 01, 2020",Sheref Sabawy,Mississauga-Erin Mills,"Salary - Legislative Assembly of Ontario.
Salary - George Brown College.
Consulting fees - Canadian Computer Technology Inc.
Rental income.","Investment properties - 5498 Smittys Court, Mississauga, ON - 50% interest; 343 Humphrey Street, Waterdown, ON - 50% interest; 3956 Thomas Alton Blvd., Burlington, ON - 50% interest.
Private company - Canadian Computer Technology Inc. - 100% interest (active).
Investment and registered accounts:
Sector-specific fund - HSBC Mortgage Fund.",Mortgages - Canadian Imperial Bank of Commerce.,Nil.,Nil.
"September 01, 2020",Sol Mamakwa,Kiiwetinoong,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Bank of Montreal.",Nil.,Nil.
"September 01, 2020",Stan Cho,Willowdale,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Real Estate Commissions - Royal LePage New Concept.
Rental Income.","Investment properties:
Unit, 161 Roehampton Avenue, Toronto, ON - 100% interest.
Unit, 575 Bloor Street East, Toronto, ON - 50% interest.
Unit, 2815 Kingston Road, Toronto, ON - 100% interest.
Unit, 8 Widmer Street, Toronto, ON - 50% interest.

Private company - 2533949 Ontario Inc. - 100% interest (inactive).

Investment and registered accounts:
Shares - Canadian Imperial Bank of Commerce, Trevali Mining Corp.","Mortgages - TD Bank.
Construction loan - Johnata Finance.",Nil.,Nil.
"September 01, 2020",Stephen Blais,Orléans,"Salary - Legislative Assembly of Ontario.
Salary - City of Ottawa (resigned March 5, 2020).",Nil.,"Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"February 27, 2020",Stephen Blais,Orléans,"Salary - City of Ottawa (resigned March 5, 2020).",Nil.,"Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Stephen Crawford,Oakville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Investment income.","Investment and registered accounts:
Shares - AGF Management, Algonquin Power, Alta Gas, Bank of Montreal, Bank of Nova Scotia, BCE, CI Financial, Canadian Imperial Bank of Commerce, Diversified Royalty, Enbridge, Emera, Fiera Capital, Inter Pipeline, Loblaws, Manulife, North West Co., National Bank, Power Corp., Royal Bank of Canada, Sienna Senior Living, Sun Life, Sprott, Superior Plus, TC Energy, Telus, Trans Canada, TD Bank, Brookfield Infrastructure Corp.
Trust Units - Chartwell REIT, True North REIT, TNT REIT, Brookfield Infrastructure LP.
Sector-specific funds - BMO Equal Weights Utilities Index ETF, BMO Equal Weights REIT Index ETF, BMO Equal Weights Oil and Gas Index ETF, BMO Equal Weights US Banks Hedged to CAD Index ETF, iShares S&P/TSX Capped REIT Index ETF.",Mortgages - Royal Bank of Canada.,Nil.,"Board member, PC Party of Ontario-Oakville."
"September 01, 2020",Stephen Lecce,King-Vaughan,"Salary - Legislative Assembly of Ontario, Minister.
Investment income.","Management Trust dated February 7, 2020.
Northern Prosperity Inc. - 100% interest - (inactive).
(Pursuant to section 13 of the Members' Integrity Act, 1994 the Integrity Commissioner has ruled that Minister Lecce is not required to place Northern Prosperity Inc. in trust on the condition that it remains inactive.)",Mortgages - HSBC.,Nil.,Nil.
"September 01, 2020",Steve Clark,Leeds-Grenville-Thousand Islands and Rideau Lakes,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Suze Morrison,Toronto Centre,Salary - Legislative Assembly of Ontario.,Nil.,"Loans - Ontario Student Assistance Program, National Student Loans, Scotiabank.","MPP Morrison was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office: travel, meals and accommodation.",Nil.
"September 01, 2020",Sylvia Jones,Dufferin-Caledon,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Taras Natyshak,Essex,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Common shares - Bank of Nova Scotia, BCE Inc., Canadian National Railway, Element Fleet Management, Empire Company Ltd., Intact Financial Corp., Northland Power Inc., Open Text Corp., Pembina Pipeline Corp., Restaurant Brands International Inc., Royal Bank of Canada, Shaw Communications Inc., TC Energy Corp., Telus Corp., Thomson Reuters Corp., Toronto-Dominion Bank, WSP Global Inc., Amazon.com Inc., Apple Inc., Facebook Inc.
Units - Brookfield Infrastructure Partners, Brookfield Renewable Partners, Canadian Apartment REIT.",Mortgage -TD Bank.,Nil.,Nil.
"September 01, 2020",Ted Arnott,Wellington-Halton Hills,"Salary - Legislative Assembly of Ontario, Speaker.","Investment and registered accounts:
Shares - General Electric.
Sector-specific fund - National Bank Precious Metals Fund.",Nil.,Nil.,Nil.
"September 01, 2020",Terence Kernaghan,London North Centre,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - First National Financial LP.
Line of credit - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2020",Teresa Armstrong,London-Fanshawe,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment properties:
Calgary Street, London, ON - 50% interest.
Vancouver Street, London, ON - 50% interest.

Private company - Armstrong & Company Inc. - Process serving company - 50% interest (active).","Mortgages, Lines of credit - TD Bank.",Nil.,Director - Armstrong & Company Inc.
"September 01, 2020",Toby Barrett,Haldimand-Norfolk,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pensions - Ontario Pension Board, CPP.
Investment income.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Todd Smith,Bay of Quinte,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Mortgage - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2020",Tom Rakocevic,Humber River-Black Creek,Salary - Legislative Assembly of Ontario.,"Private company - Vintage Terracotta Inc. - 50% interest (inactive).
Investment and registered accounts:
Sector-specific funds - CIBC Global Technology Fund.",Mortgage - Canadian Imperial Bank of Commerce.,Nil.,Nil.
"September 01, 2020",Vic Fedeli,Nipissing,"Salary - Legislative Assembly of Ontario, Minister.","Vacant lot - 1349 Lakeshore Drive, North Bay, ON - 50% interest.

Fedeli Corporation (holding company) - 100% interest.
(Pursuant to section 13 of the Members’ Integrity Act, 1994 the Integrity Commissioner has ruled that Minister Fedeli is not required to place Fedeli Corporation in trust on the condition that it continues to hold only exempt assets under the Act.)",Nil.,"Minister Fedeli received a commemorative bottle of Canadian Club Whisky from the Hiram Walker Museum as part of a tour. The Minister donated it to the North Bay Regional Health Centre Foundation for the auction at the Foundation's annual golf tournament.

Minister Fedeli accepted an invitation from the Toronto Region Board of Trade to be a guest at the head table at the organization's annual dinner.",Nil.
"September 01, 2020",Vijay Thanigasalam,Scarborough-Rouge Park,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgage - Computershare Trust Company of Canada.
Line of credit - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2020",Vincent Ke,Don Valley North,"Salary - Legislative Assembly of Ontario.
Rental Income.","Investment property - 96 Roth St., Aurora - 50% interest.
Investment and registered accounts:
Preferred shares - UT Capital Mortgage Investment Corp.","Mortgages, Line of credit - Bank of Montreal.",Nil.,Nil.
"September 01, 2020",Wayne Gates,Niagara Falls,Salary - Legislative Assembly of Ontario.,Nil.,Line of credit - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2020",Will Bouma,Brantford-Brant,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Fees - St. George Family Eyecare.
Rental income.","Investment property - 23 Main Street South, St. George, ON - 50% interest.
St. George Family Eyecare - 100% interest (active).",Mortgages - Libro Financial.,Nil.,Nil.
"September 01, 2019",Amanda Simard,Glengarry-Prescott-Russell,Salary - Legislative Assembly of Ontario.,Nil.,Nil.,Nil.,Nil.
"September 01, 2019",Amarjot Sandhu,Brampton West,"Salary - Legislative Assembly of Ontario.
Real estate commissions - Royal LePage Flower City.
Rental income.","Investment properties:
58 Sandy Beach Road, Brampton, ON - 50% interest.
15 Emerald Coast Trail, Brampton, ON - 50% interest.","Mortgages - Royal Bank of Canada, Bank of Nova Scotia.
Line of credit - TD Bank.",Nil.,Nil.
"September 01, 2019",Amy Fee,Kitchener South - Hespeler,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Nil.,Nil.,Nil.
"September 01, 2019",Andrea Horwath,Hamilton Centre,"Salary - Legislative Assembly of Ontario, Leader of the New Democratic Party.
Rental income.","Investment property - 76 West Avenue North, Hamilton, ON.","Mortgages, Line of credit, Loan - First Ontario Credit Union.",Nil.,Nil.
"September 01, 2019",Andrea Khanjin,Barrie-Innisfil,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Nil.,Nil.,Nil.
"September 01, 2019",Aris Babikian,Scarborough-Agincourt,"Salary - Legislative Assembly of Ontario.
Pension - Public Service Superannuation.",Common shares: Sun Life Financial.,"Mortgage, Lines of credit - Bank of Montreal.",Nil.,Nil.
"September 01, 2019",Belinda Karahalios,Cambridge,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage - Bank of Montreal.,MPP Karahalios received a pass to the Communitech True North Conference from the organization.,Nil.
"September 01, 2019",Bhutila Karpoche,Parkdale-High Park,"Salary - Legislative Assembly of Ontario.
Rental income.","Properties - Unit, 1 Bedford Road, Toronto, ON - 100% interest, Unit, 2131 Yonge Street, Toronto, ON - 50% interest.
Investment and registered accounts:
Shares - SoftBank Group, Enbridge Inc. (TFSA), II-VI Inc. (RRSP), Alibaba Group Holding Ltd., Alphabet Inc (RESP).","Mortgage, Line of credit, Guarantor for Gerti Dervishi - TD Bank.","MPP Karpoche attended the World Parliamentarian Convention on Tibet in Riga Latvia. She accepted airfare, accommodation and meals from convention organizers.",Nil.
"September 01, 2019",Bill Walker,Bruce-Grey-Owen Sound,"Salary - Legislative Assembly of Ontario, Minister.","Investment and registered accounts:
Shares - Sun Life Financial.
Sector-specific fund - CI First Asset Canadian REIT ETF.
(Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Walker is not required to place these securities in trust on the condition that he does not buy, sell or trade same.)",Secured line of credit - TD Bank.,Nil.,Nil.
"September 01, 2019",Billy Pang,Markham-Unionville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income.","Investment property - Unit, 60 Brian Harrison Way, Toronto - 50% interest.

Investment and registered accounts:
Sentry Global REIT, Mortgage held through Olympia Trust Company for 3310 Kingston Development Inc.","Mortgages - Bank of Montreal, HSBC.",Nil.,Director - Chinese Gospel Broadcasting Centre.
"September 01, 2019",Bob Bailey,Sarnia-Lambton,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - CPP.","Investment and registered accounts:
Shares - Canadian National Railway, Royal Bank of Canada, Enbridge Inc., Suncor Energy Inc., TransCanada Energy Corp., Toronto Dominion Bank, Bank of Montreal.
Sector-specific fund: United Financial Real Estate Investment Pool.",Lines of credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2019",Caroline Mulroney,York-Simcoe,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Line of credit - Canadian Imperial Bank of Commerce.,Nil.,Nil.
"September 01, 2019",Catherine Fife,Waterloo,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - First Majestic Silver Corp., Fortuna Silver Mines Inc.","Mortgage - Tangerine Bank.
Line of credit - Simplii Financial.",Nil.,Nil.
"September 01, 2019",Chris Glover,Spadina-Fort York,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment Property - 76 Concord Avenue, Toronto - 100% interest.",Mortgage - Bank of Nova Scotia.,MPP Glover received two tickets and a tour of the Honda Indy in July 2018 from Honda Indy Toronto.,Nil.
"September 01, 2019",Christina Mitas,Scarborough Centre,Salary - Legislative Assembly of Ontario.,Nil.,Loan - Ontario Student Assistance Program.,Nil.,Nil.
"September 01, 2019",Christine Elliott,Newmarket-Aurora,"Salary - Legislative Assembly of Ontario, Minister.
Pensions - CPP, Public Service of Canada Superannuation.
Royalties - Thomson Reuters.","Management trust dated October 30, 2018.",Mortgage - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2019",Christine Hogarth,Etobicoke-Lakeshore,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Investment property - Unit, 650 Queens Quay, Toronto, ON - 100% interest.
Investment and registered accounts:
Sector-specific fund - United Real Estate Investment Corp.","Mortgages - First National, TD Bank.",Nil.,Nil.
"September 01, 2019",Daisy Wai,Richmond Hill,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Private companies:
Ad2000 Beyond Advertising Inc. - 50% interest (active).
Ad2000 Expo and Beyond Inc. - 50% interest (inactive).

Mortgage held through Centro Mortgage Inc. for PT Lot 10, Con 8 King.","Mortgage, Line of credit - Bank of Nova Scotia.","MPP Wai was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office in January 2019: airfare, accommodation, meals and transportation.",President and CEO - Ad2000 Beyond Advertising Inc.
